,street,id,coordinates,address,region
1826,3-й Стрелецкий проезд,1,"37.6047,55.795357","город Москва, 3-й Стрелецкий проезд, дом 3",район Марьина Роща
1827,Причальный проезд,1,"37.51777,55.759223","город Москва, Причальный проезд, дом 7, строение 1",Пресненский район
1828,Пуговишников переулок,1,"37.586374,55.732144","город Москва, Пуговишников переулок, дом 7",район Хамовники
1829,3-я Подрезковская улица,1,"37.356091,55.940573","город Москва, 3-я Подрезковская улица, дом 14, строение 2",Молжаниновский район
1830,Прохладная улица,1,"37.673187,55.61628","город Москва, Прохладная улица, дом 28",район Бирюлёво Восточное
1831,переулок Васнецова,1,"37.625783,55.775697","город Москва, переулок Васнецова, дом 2",Мещанский район
1832,переулок Красина,1,"37.581954,55.767539","город Москва, переулок Красина, дом 16, строение 10",Пресненский район
1833,переулок Маяковского,1,"37.660521,55.739498","город Москва, переулок Маяковского, дом 3",Таганский район
1834,переулок Расковой,1,"37.576331,55.78645","город Москва, переулок Расковой, дом 14А",район Беговой
1835,Проточный переулок,1,"37.58058,55.750165","город Москва, Проточный переулок, дом 7",район Арбат
1836,переулок Хользунова,1,"37.580499,55.730096","город Москва, переулок Хользунова, дом 8",район Хамовники
1837,Прокатная улица,1,"37.836645,55.760114","город Москва, Прокатная улица, дом 7",район Ивановское
1838,3-я Песчаная улица,1,"37.51785,55.792645","город Москва, 3-я Песчаная улица, дом 2",Хорошёвский район
1839,3-я Новоостанкинская улица,1,"37.626654,55.817537","город Москва, 3-я Новоостанкинская улица, дом 6",Останкинский район
1840,площадь Журавлёва,1,"37.70231,55.784","город Москва, площадь Журавлёва, дом 2, строение 2",район Соколиная Гора
1841,Производственная улица,1,"37.381028,55.649647","город Москва, Производственная улица, дом 1, корпус 1, строение 1",район Солнцево
1842,Проектируемый проезд № 1980,1,"37.43728,55.67225","город Москва, проектируемый проезд № 1980, дом 4",район Очаково-Матвеевское
1843,проспект 40 лет Октября,1,"37.746409,55.68158","город Москва, проспект 40 лет Октября, дом 7, строение 2",район Люблино
1844,Брошевский переулок,1,"37.672594,55.735125","город Москва, Брошевский переулок, дом 21",Таганский район
1845,Пенягинская улица,1,"37.359513,55.836059","город Москва, Пенягинская улица, дом 14",район Митино
1846,улица Академика Арцимовича,1,"37.515137,55.642159","город Москва, улица Академика Арцимовича, дом 7",район Коньково
1847,Петроверигский переулок,1,"37.636608,55.756791","город Москва, Петроверигский переулок, дом 4, строение 1",no_region
1848,Песчаный переулок,1,"37.508418,55.799684","город Москва, Песчаный переулок, дом 6",район Сокол
1849,2-я улица Марьиной Рощи,1,"37.620186,55.799674","город Москва, 2-я улица Марьиной Рощи, дом 22",район Марьина Роща
1850,Песчаная улица,1,"37.514922,55.803266","город Москва, Песчаная улица, дом 2А, строение 4",район Сокол
1851,2-я улица Бухвостова,1,"37.707557,55.798161","город Москва, 2-я улица Бухвостова, дом 6",район Преображенское
1852,Пестовский переулок,1,"37.659218,55.745301","город Москва, Пестовский переулок, дом 3, строение 1",Таганский район
1853,улица Академика Комарова,1,"37.594908,55.829092","город Москва, улица Академика Комарова, дом 5А",район Марфино
1854,2-я Ямская улица,1,"37.608293,55.794629","город Москва, 2-я Ямская улица, дом 4",район Марьина Роща
1855,Перовский проезд,1,"37.710225,55.744358","город Москва, Перовский проезд, дом 35, строение 8",район Лефортово
1856,улица Академика Опарина,1,"37.49992,55.643856","город Москва, улица Академика Опарина, дом 4",Обручевский район
1857,улица Академика Павлова,1,"37.407573,55.748756","город Москва, улица Академика Павлова, дом 25",район Кунцево
1858,улица Академика Петровского,1,"37.60735,55.718953","город Москва, улица Академика Петровского, дом 10",Донской район
1859,улица Академика Понтрягина,1,"37.502813,55.533522","город Москва, улица Академика Понтрягина, дом 17, корпус 1",район Южное Бутово
1860,улица Академика Семёнова,1,"37.511544,55.543516","город Москва, улица Академика Семёнова, дом 3",район Южное Бутово
1861,Бутиковский переулок,1,"37.602184,55.737801","город Москва, Бутиковский переулок, дом 7",район Хамовники
1862,Петровско-Разумовская аллея,1,"37.560574,55.793693","город Москва, Петровско-Разумовская аллея, дом 10, корпус 3",район Аэропорт
1863,2-я улица Энтузиастов,1,"37.729017,55.750185","город Москва, 2-я улица Энтузиастов, дом 5",район Перово
1864,3-й Павловский переулок,1,"37.628631,55.718877","город Москва, 3-й Павловский переулок, дом 2",Даниловский район
1865,улица Айвазовского,1,"37.54003,55.613656","город Москва, улица Айвазовского, владение 7, строение 1",район Ясенево
1866,Пожарский переулок,1,"37.600675,55.741744","город Москва, Пожарский переулок, дом 15",район Хамовники
1867,Подсосенский переулок,1,"37.649966,55.758301","город Москва, Подсосенский переулок, дом 8, строение 2",Басманный район
1868,Подольская улица,1,"37.71345,55.65178","город Москва, Подольская улица, дом 15",район Марьино
1869,Будайская улица,1,"37.665156,55.831903","город Москва, Будайская улица, дом 3",район Ростокино
1870,Плетешковский переулок,1,"37.674409,55.771408","город Москва, Плетешковский переулок, дом 2",Басманный район
1871,Платовская улица,1,"37.555193,55.744799","город Москва, Платовская улица, дом 4",район Дорогомилово
1872,улица 2-я Пятилетка,1,"37.168478,55.979551","город Москва, город Зеленоград, улица Вторая Пятилетка, дом 18А",no_region
1873,3-й Лучевой просек,1,"37.672747,55.79849","город Москва, 3-й Лучевой просек, дом 4А",no_region
1874,Будайский проезд,1,"37.668767,55.836064","город Москва, Будайский проезд, дом 8",район Ростокино
1875,улица Авиаконструктора Микояна,1,"37.527588,55.792589","город Москва, улица Авиаконструктора Микояна, дом 12",Хорошёвский район
1876,Печорская улица,1,"37.657269,55.865869","город Москва, Печорская улица, дом 18",Бабушкинский район
1877,3-й Лихачёвский переулок,1,"37.516844,55.846851","город Москва, 3-й Лихачёвский переулок, дом 2А",Головинский район
1878,3-й Кожуховский проезд,1,"37.675289,55.70777","город Москва, 3-й Кожуховский проезд, дом 3А",Южнопортовый район
1879,3-й Кадашёвский переулок,1,"37.624202,55.742407","город Москва, 3-й Кадашёвский переулок, дом 2",район Якиманка
1880,3-й Дорожный проезд,1,"37.614806,55.599967","город Москва, 3-й Дорожный проезд, дом 6А",район Чертаново Южное
1881, 1-й Кожуховский проезд,1,no coordinates,"город Москва, 1-й Кожуховский проезд, дом 17",no_region
